	uuid	sentences_number	words_number	noun_ratio_score	token_ratio_score	adverb_ratio_score	proper_noun_ratio_score	PQP_score	direct_discourse_score	number_of_nodes	number_of_edges	PE	LCC	LSC	degree_average	degree_std	L1	L2	L3	transitivity	average_clustering	diameter_g0	average_shrotest_path_g0	liwc_émopos	liwc_émonég	liwc_mort	liwc_corps	labMT	textblob_polarity	textblob_subjectivity	feel_fear	feel_anger	feel_surprise	feel_sadness	feel_disgust	feel_joy	feel_positive	polarimot_neutre	polarimot_negative	polarimot_positive	empath_tristesse	gobin_Valence	gobin_Arousal	gobin_PCjoie	gobin_PCsurprise	gobin_PCcolère	gobin_PCdégoût	gobin_PCpeur	gobin_PCtristesse	gobin_PCpos	gobin_PCneg	repetitions_type_1_score	repetitions_type_2_score	repetitions_type_3_score	score_generical_connector_matches	score_temporal_connector_matches	score_parenthetique_matches	score_paticules_matches	score_troncations_matches	score_onomatopes_matches	first_personal_pronoun_sing	first_personal_pronoun_plur	second_personal_pronoun	third_personal_pronoun	verb_indicatif_present	verb_indicatif_future	verb_participe_passe	verb_conditionel	verb_indicatif_imparfait	PROPN	passive_count_norm	passive_sents_count	passive_percentages	MORT_IMPLICITE	MORT_EXPLICITE	ON_GENERIQUE	ON_NOUS	ON_QUELQU_UN	PRESENT_ENNONCIATION	PRESENT_GENERIQUE	PRESENT_HISTORIQUE	VERB_PERCEPTIONS_SENSORIELLES	CORPS	NOM_PERCEPTIONS_SENSORIELLES	SENSATIONS_PHYSIQUES	agentivity
56	5f54e4cf-8347-5f46-a249-640d8361b680	99	4744	0.3795066413662239	0.1614671163575042	0.1756440281030445	0.48	5.269814502529512	0.0397578692493946	703.0	4743.0	655.0	1.0	1.0	13.493598862019915	49.37610356646883	1.0	5627.0	410242.0	0.0537310790475347	0.300984342096454	5.0	2.80115743273638	0.001424500660566	0.0014747771544684	0.0001340706504062	0.0004524884451209	1.1018148989032632	0.0240854393005505	0.0839351082019613	0.026686400610249	0.0164915958827381	0.0118439643157846	0.017241213877408	0.0119938879147186	0.0043477843690855	0.0910036245529278	0.144167068176343	0.0399000240905805	0.0267254878342568	0.0071455111898705	-0.1095788162618331	0.7513674933045259	4.740286353268982	3.328574671991884	6.344527138471404	0.5819402196380162	4.237117714648607	1.8468119120991504	8.068861025260867	13.01039698485718	0.0150899593731863	0.0294060746759527	0.0472044882956084	5.080101180438448	0.1686340640809443	0.0843170320404721	1.5809443507588532	0.484822934232715	0.0	0.3893129770992366	0.0203562340966921	0.0114503816793893	0.1145038167938931	0.1705989110707804	0.0	0.3992740471869328	0.0018148820326678	0.1705989110707804	0.010539629005059	2.2446328623176584	17	0.1574074074074074	0.0632377740303541	0.1264755480607082	0.042158516020236	1.83389544688027	0.021079258010118	0.990725126475548	0.1475548060708263	0.6323777403035413	0.885328836424958	0.3794266441821248	0.0	0.2318718381112985	1.1328560601638882
57	71c4a5e0-78b0-5252-ab74-6818018a67a0	154	4659	0.4210526315789473	0.1755741575445374	0.1761517615176151	0.3181818181818182	5.795235028976175	0.0566137566137566	767.0	4658.0	662.0	1.0	2.0	12.146023468057368	44.27650533708776	29.0	3029.0	125951.0	0.0462773697339246	0.3148084588421048	5.0	2.809661595650886	0.0015561960080226	0.0016923631587246	0.0001556196008022	0.0010893372056158	1.1114134460966882	0.0257414847531205	0.0752518977354144	0.0267008024171578	0.0159946835735631	0.0189614393976918	0.0187034606303762	0.0156077154225898	0.0027087770568131	0.081521290471709	0.1714045879039629	0.022190772541138	0.021042973961424	0.0069238172389201	-0.10594663412519	0.7605224022887741	4.94435450961941	3.913100308089524	3.4008049328566243	1.6598341741048053	4.94450877327973	2.6012307427024064	8.857454817708934	12.606378622943566	0.0085453486113808	0.0223344338706544	0.0347640318508448	5.559132861128998	0.214638334406525	0.25756600128783	2.768834513844173	0.6653788366602276	0.0	0.289437585733882	0.0219478737997256	0.0027434842249657	0.186556927297668	0.174757281553398	0.003883495145631	0.4019417475728155	0.0	0.2116504854368932	0.0094440867138871	3.1965690682178494	24	0.1538461538461538	0.1502468340845675	0.1502468340845675	0.1073191672032625	1.11611933891393	0.1502468340845675	0.51513200257566	0.8370895041854475	0.128783000643915	0.4507405022537025	1.0517278385919724	0.0	0.1931745009658725	1.6734079511512083
58	68037921-b288-5186-84c7-4798fb6a8736	107	4934	0.4206081081081081	0.1791649777057154	0.1785714285714285	0.4666666666666667	1.2160518848804216	0.1069210692106921	827.0	4933.0	614.0	1.0	1.0	11.929866989117292	41.43814218705507	112.0	4362.0	215134.0	0.0617836298431896	0.3119676301466518	6.0	2.88521187172633	0.0010455472555188	0.0012707420490152	0.0	0.0001125973967481	1.0616315135059735	0.0189625700759458	0.0513730933861564	0.0208308823201882	0.0158524324575017	0.0100879115638647	0.0127081483336997	0.0163764798114687	0.0024892249313432	0.0957696539374691	0.1356277149488561	0.0310334602001619	0.0360141389977188	0.0065379133595721	-0.0565294509427286	0.66996306882304	5.422063712634478	4.210506694396783	6.012679027562397	0.8936927546274109	2.62178491283942	1.1068043126132006	9.63257040703126	10.634961007642431	0.0283877878950187	0.0492769148366363	0.0619532226388145	4.742602351033645	0.2837454398054317	0.1216051884880421	1.6416700445885692	0.0	0.0	0.2181603773584905	0.0106132075471698	0.0294811320754717	0.1698113207547169	0.5353159851301115	0.0167286245353159	0.1338289962825278	0.0037174721189591	0.0390334572490706	0.003040129712201	1.999081528555912	14	0.112	0.0	0.0	0.3850830968788001	0.9120389136603162	0.0202675314146736	2.6753141467369272	2.026753141467369	1.3984596676124847	0.4661532225374949	0.060802594244021	0.0	0.0810701256586947	1.0096745299852927
59	8d598ce8-68ba-5cc7-9f29-20c8a44c85e0	113	2751	0.5226480836236934	0.2275536168665939	0.2457627118644068	0.6470588235294118	5.452562704471101	0.0349006301502666	586.0	2750.0	367.0	1.0	4.0	9.38566552901024	22.95703211508797	27.0	621.0	15960.0	0.0533888911695882	0.2107643201711561	7.0	2.9783786937370555	0.0020056859084255	0.0023751543652407	0.0003694684568152	0.0008444993298633	1.901320149916253	0.0170807878269094	0.2743577115652958	0.0416314437669055	0.0188883402275775	0.0134916715911267	0.0327654881498793	0.0308381064940041	0.0104078609417263	0.1576598194505959	0.2728666550269003	0.0467498814556577	0.0438876438155154	0.0151460075124197	-0.0441551983777744	1.3039197969951022	11.767445338004116	6.759629005768786	5.972575871487771	1.766826493392145	6.166505021982978	3.917436299171544	18.5270743437729	17.82334368603444	0.0114905841046919	0.0264921800191509	0.0395786785828279	3.525990548891312	0.2908033442384587	0.1454016721192293	0.9814612868047984	0.5816066884769174	0.0727008360596146	0.2527881040892193	0.0074349442379182	0.0167286245353159	0.1338289962825278	0.2125340599455041	0.0	0.3514986376021798	0.0054495912806539	0.2234332425068119	0.0123591421301344	0.6313354703116772	5	0.045045045045045	0.109051254089422	0.2544529262086514	0.1817520901490367	2.4718284260268995	0.0	1.7448200654307526	0.9451108687749908	0.0	0.5816066884769174	0.3271537622682661	0.0	0.1454016721192293	0.3156677351558386
60	6941ea2e-00dd-580f-bf16-9d4085e88e75	596	8946	0.3183072677092916	0.1359266711379387	0.1317523056653491	0.3835616438356164	2.906326849988822	0.0089914581147909	1126.0	8945.0	1129.0	1.0	3.0	15.88809946714032	60.632134090017175	94.0	11128.0	1048186.0	0.0619113146219364	0.3049014440913416	6.0	2.824629958555358	0.0006574493703119	0.0006985399559564	3.0817939233372324e-05	0.000210589251428	0.5844823309641837	0.0076013632162012	0.0343543406860472	0.0119245699403851	0.0077288879243236	0.0059622849701925	0.008258868810563	0.0066247610779917	0.0015457775848647	0.0531747489193468	0.0805561302299694	0.0168842394168875	0.01434143227579	0.0063875315384369	0.0027518417030578	0.3904758406433285	3.826861951694239	2.629367651473415	1.9479761773866595	0.5002424766900616	1.2725723355160072	1.0011595995043163	6.456229603167655	4.721950589097045	0.0181166837256908	0.0411463664278403	0.0570112589559877	4.482450257098145	0.5030181086519114	0.3912363067292644	1.140174379610999	2.9845741113346747	0.0558909009613234	0.3656957928802589	0.001294498381877	0.0110032362459546	0.1378640776699029	0.2914572864321608	0.0010050251256281	0.3135678391959799	0.0030150753768844	0.2140703517587939	0.0081600715403532	3.516884756708782	29	0.0615711252653927	0.0447127207690588	0.0894254415381176	0.0558909009613234	0.3129890453834116	0.0111781801922647	1.8891124524927343	0.8160071540353231	0.2123854236530293	0.7154035323049408	0.2459199642298233	0.0	0.1341381623071764	1.7640314684505234
61	666f3b0e-a215-5120-9294-018a66e2a245	212	8855	0.3027613412228797	0.1305477131564088	0.1289833080424886	0.4603174603174603	1.2422360248447206	0.086342310583478	1081.0	8854.0	1250.0	1.0	2.0	16.381128584643847	77.75209647356363	79.0	17083.0	1866001.0	0.0426044829744326	0.3620654605935303	5.0	2.7521345119402474	0.0007341943575965	0.0004686346963382	5.207052181536168e-05	0.0002291102959875	0.5967650467488094	0.011688703808269	0.0562692138779094	0.0082453113964881	0.0056983303891959	0.005741499558811	0.0062163604245774	0.0098857398418626	0.0033240260603643	0.0616024050407775	0.0840382697351409	0.0112138978453484	0.017678380132667	0.0038152212065255	0.019740691427826	0.389748538581264	4.499481430938511	2.505736635260344	1.0254068470960618	0.8580361013107226	1.1870119782330817	1.2173817784769196	7.005218066198855	4.287836705116786	0.0157198612315698	0.0471595836947094	0.0717692974848222	4.449463579898363	0.1355166572557876	0.0564652738565782	1.7052512704686618	0.2371541501976284	0.0564652738565782	0.3560830860534125	0.0278931750741839	0.0326409495548961	0.14540059347181	0.6220677671589921	0.0034752389226759	0.1337966985230234	0.0008688097306689	0.0738488271068636	0.0071146245059288	3.63086730337068	28	0.1052631578947368	0.0790513833992094	0.0564652738565782	0.0451722190852625	1.9424054206662904	0.0564652738565782	2.9926595143986447	0.5985319028797289	5.070581592320723	1.4906832298136643	0.406549971767363	0.0	0.1581027667984189	1.843666288613629
62	10d812f9-05c6-5258-b2e5-e2a19812ea60	469	12704	0.2657757980697847	0.1098079345088161	0.0938697318007662	0.3968253968253968	3.227329974811083	0.1698870178468624	1279.0	12703.0	1626.0	1.0	1.0	19.86395621579359	81.73910291155757	31.0	11343.0	1610620.0	0.0622636128954793	0.3756919398419797	6.0	2.7542632215847425	0.0004473714040433	0.0005500468082499	0.0001173433190933	0.0002542438580355	0.4115530265899386	0.0065735407948438	0.032374498806614	0.0075711271877918	0.0053789509511121	0.0038769042704242	0.0050947799574685	0.0071042748410915	0.0017050259618619	0.0369219312455588	0.0587280781409158	0.0112027510403259	0.0087845360580529	0.0020097540061096	-0.0237664080083304	0.2730125207784517	2.264532992764697	1.3329515112487134	1.699169389943229	0.3820500647236062	1.3526851393578412	0.8401474258913839	3.5974845040134107	4.27405201991606	0.0061026143298425	0.0151435244481277	0.0280268213666842	6.564861460957179	0.1653022670025188	0.0944584382871536	2.518891687657431	1.1728589420654911	0.1259445843828715	0.2846652267818574	0.0298056155507559	0.0172786177105831	0.1680345572354211	0.3064516129032258	0.0031017369727047	0.2785359801488833	0.0043424317617866	0.1997518610421836	0.0049590680100755	3.492184634475123	28	0.0554455445544554	0.0865869017632241	0.267632241813602	0.1495591939546599	1.5113350125944585	0.0865869017632241	2.5739924433249373	0.669080604534005	0.551007556675063	0.6218513853904283	0.6769521410579346	0.0	0.2125314861460957	1.7893857681191736
63	42d95a93-f105-5548-9d88-249f0fe1ea7e	54	1019	0.616	0.3277723258096173	0.391304347826087	0.3636363636363636	3.9254170755642783	0.0176108635688521	314.0	1018.0	132.0	1.0	4.0	6.484076433121019	12.510431364938349	1.0	57.0	1429.0	0.0460318813400392	0.1134286150742008	7.0	3.090962739870984	0.0055443744005145	0.0039602674289389	0.0015841069715755	0.003564240686045	5.13559443739575	0.0988363942240291	0.5450021029020048	0.094478206011252	0.0457152609731864	0.0579059972327028	0.0914305219463729	0.0792397856868565	0.0304768406487909	0.4358188212777111	0.7473390201555069	0.0528421529402883	0.1811730957952744	0.0250558536738145	0.32683956574983	3.233542207225762	42.34998154868445	21.25953307501885	7.35612846878117	3.439932291747797	11.383884932880797	12.345966571993891	63.60951462370333	34.525912265403655	0.0060085836909871	0.0137339055793991	0.0197424892703862	6.378802747791953	0.1962708537782139	0.0981354268891069	2.4533856722276743	1.2757605495583906	0.0	0.2195121951219512	0.0426829268292682	0.024390243902439	0.0670731707317073	0.1692307692307692	0.0	0.3923076923076923	0.0	0.2307692307692307	0.0215897939156035	0.7218572717834414	5	0.0980392156862745	0.0981354268891069	0.0	0.0	4.612365063788027	0.0	0.7850834151128557	0.3925417075564278	0.0	1.2757605495583906	1.2757605495583906	0.0	0.0	0.3609286358917207
64	0526473a-1184-5fc7-bdf1-5dbb2c4ed30f	545	6725	0.3918417799752781	0.1534572490706319	0.1617100371747211	0.6896551724137931	1.7843866171003715	0.0262556310092113	963.0	6724.0	876.0	1.0	2.0	13.964693665628245	56.07227941487194	12.0	11762.0	668046.0	0.0550861935083087	0.3748171646619692	5.0	2.779027769681975	0.0007589379281435	0.0004677175603675	0.0001058983155549	0.0003971186833309	0.781277788558414	0.0155135252709009	0.0408407814600964	0.0147122571492374	0.0084070040852785	0.0102085049606953	0.0098331922783168	0.0096080046688897	0.0035279392143579	0.073110910527333	0.1102073478318122	0.0149914406977097	0.0235000962288423	0.0118014987903463	-0.0056177389748821	0.5142124674951811	5.121877446009452	2.9673367585018653	2.6679402587430854	0.8189530745365424	2.242316616431161	1.0514643216143256	8.089214204511313	6.780674271325115	0.0200797493591569	0.0468527485046995	0.0675021361435488	5.710037174721189	0.2379182156133829	0.1486988847583643	1.992565055762081	7.107806691449814	0.0446096654275092	0.3436293436293436	0.0106177606177606	0.0125482625482625	0.1322393822393822	0.3931623931623931	0.0071225071225071	0.2749287749287749	0.0042735042735042	0.0897435897435897	0.0043122676579925	2.382684769868653	19	0.0669014084507042	0.1338289962825278	0.0743494423791821	0.1486988847583643	0.966542750929368	0.0148698884758364	1.3680297397769516	0.5204460966542751	2.111524163568773	0.6394052044609666	0.3866171003717472	0.0	0.3866171003717472	1.1987773291722448
65	e88d281b-9847-59f7-bc1a-3a39b47f409a	327	8027	0.3363518758085381	0.1189734645571197	0.0970996216897856	0.4262295081967213	3.2390681450105894	0.0612125296685908	873.0	8026.0	1137.0	1.0	1.0	18.38717067583047	84.34529977929186	73.0	18885.0	1583395.0	0.0495935554741852	0.3920245539365037	6.0	2.670447260842608	0.0009789391663427	0.000661101774673	6.356747833394673e-05	0.0001652754436682	0.6551812708324807	0.0106148767836089	0.0433923867454586	0.0121639443739941	0.0069755320817691	0.0079555655147449	0.0069755320817691	0.0095697382278816	0.0032859944517424	0.0612232650482548	0.088963920471665	0.0150276892688623	0.0205879342983414	0.0098872653999102	0.0141306433017033	0.420145707863541	4.443828244561357	2.935847416052581	1.9782608715619576	0.5319404338930703	1.4249981008778871	1.1430793369400285	7.3796756606139375	5.078278743272944	0.0124548511645285	0.0372400049819404	0.0571677668451862	5.257256758440263	0.3239068145010589	0.0373738632116606	2.8404136040862094	1.482496574062539	0.0747477264233212	0.4683544303797468	0.0049226441631504	0.0084388185654008	0.1420534458509142	0.406318082788671	0.0076252723311546	0.2363834422657952	0.0	0.1710239651416122	0.0075993521863709	2.5582371172879075	16	0.0547945205479452	0.0124579544038868	0.0498318176155475	0.0124579544038868	0.4734022673477014	0.0124579544038868	2.292263610315186	0.3488227233088327	2.0680204310452224	0.7723931730409866	0.1868693160583032	0.0	0.099663635231095	1.2853475358458972
